year,latitude_eq,longitude_eq,country,regionCode_eq,intensity,eqDepth,magnitude_Mw,oceanicTsunami
1920,41.197,20.704,MACEDONIA,130,9.0,15.0,6.0,1
1921,15.662,-90.791,GUATEMALA,100,7.0,15.0,7.1,0
1921,8.0,127.0,PHILIPPINES,170,7.0,60.0,7.095000000000001,1
1921,36.5,70.5,AFGHANISTAN,40,,215.0,7.8,0
1921,-2.5,-71.0,PERU,160,,650.0,7.6,0
1922,2.5,-71.0,COLOMBIA,160,,600.0,7.161999999999999,0
1922,-2.5,-71.0,PERU,160,,650.0,7.161999999999999,0
1922,11.317,-86.073,NICARAGUA,100,,25.0,6.4,0
1922,9.0,123.25,PHILIPPINES,170,8.0,33.0,6.09,1
1922,44.4,20.4,SERBIA,130,10.0,12.0,6.0,0
1922,47.0,151.8,RUSSIA,50,,90.0,7.5,0
1922,-28.293,-69.852,CHILE,160,11.0,70.0,8.5,1
1922,36.5,70.5,AFGHANISTAN,40,,230.0,7.5,0
1923,54.486,160.472,RUSSIA,50,11.0,15.0,8.4,1
1923,37.6,57.3,IRAN,140,8.0,10.0,5.5,0
1923,55.0,162.4,RUSSIA,50,,20.0,7.7,0
1923,31.5,101.0,CHINA,30,10.0,13.0,6.961,0
1923,56.5,162.5,RUSSIA,50,10.0,20.0,6.894,1
1923,31.308,56.1,IRAN,140,10.0,15.0,6.0,0
1923,35.1,139.5,JAPAN,30,,35.0,7.9,1
1923,34.9,140.2,JAPAN,30,,20.0,7.229000000000001,1
1923,29.222,56.839,IRAN,140,8.0,15.0,6.7,0
1923,0.87,-77.78,COLOMBIA,160,9.0,10.0,6.2,0
1923,4.64,-73.36,COLOMBIA,160,8.0,15.0,5.9,0
1924,44.737,147.416,RUSSIA,50,,120.0,7.161999999999999,0
1924,-49.5,159.0,AUSTRALIA,170,,50.0,7.5,0
1924,8.5,126.5,PHILIPPINES,170,9.0,33.0,6.961,1
1925,25.756,100.373,CHINA,30,,26.0,6.9,0
1925,-18.5,168.5,VANUATU,170,,50.0,7.6,0
1925,12.2,122.1,PHILIPPINES,170,7.0,10.0,6.291,1
1925,34.418,-120.196,USA,150,9.0,10.0,6.8,0
1925,12.2,-85.2,NICARAGUA,100,,135.0,6.7,0
1925,11.0,-42.0,ATLANTIC OCEAN,70,,60.0,7.5,0
1925,13.0,125.0,PHILIPPINES,170,9.0,22.0,6.961,1
1926,-10.0,161.0,SOLOMON ISLANDS,170,,60.0,7.5,0
1926,36.794,26.935,GREECE,130,11.0,15.0,7.0,0
1926,0.059,101.419,INDONESIA,60,9.0,15.0,6.6,0
1926,27.0,127.0,JAPAN,30,,130.0,7.5,0
1926,38.567,14.833,ITALY,130,7.0,100.0,5.621,1
1926,-49.0,161.0,AUSTRALIA,170,,50.0,7.9,0
1926,40.942,43.771,TURKEY,140,9.0,15.0,5.9,0
1926,12.3,-85.8,NICARAGUA,100,,135.0,7.0,0
1927,35.6,135.1,JAPAN,30,,10.0,6.961,1
1927,44.1,20.5,SERBIA,130,10.0,12.0,5.9,0
1927,37.666,102.493,CHINA,30,11.0,15.0,7.7,0
1927,36.75,22.75,GREECE,130,10.0,120.0,6.961,0
1927,32.0,35.5,ISRAEL,140,,33.0,6.291,1
1927,44.4,34.5,UKRAINE,110,9.0,17.0,6.626,1
1927,34.813,-120.774,USA,150,8.0,10.0,7.3,1
1928,18.362,-98.194,MEXICO,150,,80.0,6.2,0
1928,-2.5,88.5,INDIAN OCEAN,60,,33.0,7.497,0
1928,-22.0,170.5,NEW CALEDONIA,170,,60.0,7.5,0
1928,15.67,-96.1,MEXICO,150,,60.0,7.229000000000001,1
1928,46.4,13.0,ITALY,120,9.0,33.0,5.8,0
1928,-13.595,-70.343,PERU,160,9.0,30.0,6.7,1
1928,42.2,25.3,BULGARIA,110,10.0,7.0,6.626,0
1928,42.1,25.0,BULGARIA,110,11.0,10.0,6.76,0
1928,38.0,23.0,GREECE,130,9.0,29.0,6.09,1
1928,12.4,120.9,PHILIPPINES,170,8.0,33.0,6.76,1
1928,16.028,-97.036,MEXICO,150,,35.0,7.7,1
1928,36.893,59.044,IRAN,140,8.0,15.0,5.6,0
1928,16.0,-97.0,MEXICO,150,,60.0,7.161999999999999,0
1928,-35.0,-72.0,CHILE,160,9.0,25.0,7.6,1
1929,49.8,154.8,RUSSIA,50,7.0,140.0,7.7,0
1929,36.5,70.5,AFGHANISTAN,40,,220.0,7.1,0
1929,51.0,-170.0,USA,150,5.0,50.0,7.8,1
1929,38.09,57.705,IRAN,140,9.0,10.0,7.2,0
1929,40.2,37.9,TURKEY,140,8.0,10.0,6.5,0
1929,-55.373,-29.345,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,70,,15.0,8.1,0
1929,37.866,58.404,IRAN,140,7.0,15.0,5.9,0
1929,32.2,49.7,IRAN,140,,65.0,6.2,0
1929,63.9,-21.7,ICELAND,120,10.0,33.0,6.3,0
1929,-23.0,-69.0,CHILE,160,,100.0,7.5,0
1929,44.426,-56.03,CANADA,150,6.0,10.0,7.2,1
1929,52.5,171.5,USA,150,,25.0,7.8,0
1930,40.4,20.5,ALBANIA,130,10.0,33.0,5.6,0
1930,35.8,24.8,GREECE,130,11.0,130.0,6.7,0
1930,17.733,96.406,MYANMAR (BURMA),60,9.0,35.0,7.4,1
1930,38.094,44.797,IRAN,140,9.0,15.0,7.1,0
1930,41.1,15.4,ITALY,130,10.0,7.0,6.425000000000001,0
1930,43.89,13.483,ITALY,130,9.0,15.0,6.0,1
1930,40.5,19.5,ALBANIA,130,11.0,12.0,6.09,0
1930,35.0,139.0,JAPAN,30,,19.0,6.827,0
1930,40.3,19.6,ALBANIA,130,9.0,4.0,5.0,0
1931,16.1,-96.8,MEXICO,150,10.0,50.0,7.9,0
1931,25.6,96.8,MYANMAR (BURMA),60,,60.0,7.6,0
1931,40.6,20.8,ALBANIA,130,9.0,33.0,5.8,0
1931,-39.772,176.025,NEW ZEALAND,170,9.0,35.0,7.7,1
1931,41.0,22.5,GREECE,130,10.0,120.0,6.693,0
1931,40.5,142.5,JAPAN,30,,60.0,7.7,1
1931,39.2,46.0,ARMENIA,40,8.0,22.0,6.291,0
1931,47.1,89.8,CHINA,40,11.0,25.0,8.0,0
1931,29.8,67.3,PAKISTAN,60,,60.0,7.4,0
1931,36.1,139.2,JAPAN,30,,20.0,7.0,0
1931,-10.932,161.016,SOLOMON ISLANDS,170,,35.0,7.8,1
1931,-9.968,161.194,SOLOMON ISLANDS,170,,50.0,7.7,0
1931,32.0,131.5,JAPAN,30,,60.0,7.5,1
1932,-12.0,-77.5,PERU,160,9.0,100.0,6.8,0
1932,19.706,-75.691,CUBA,90,8.0,25.0,6.7,1
1932,-18.198,179.753,FIJI,170,7.0,15.0,6.4,0
1932,0.386,125.884,INDONESIA,170,7.0,15.0,7.7,1
1932,36.6,53.4,IRAN,140,8.0,12.0,5.4,0
1932,13.198,-87.862,EL SALVADOR,100,8.0,15.0,7.1,0
1932,-25.5,179.2,KERMADEC ISLANDS (NEW ZEALAND),170,,600.0,7.9,0
1932,19.623,-103.919,MEXICO,150,10.0,35.0,8.1,1
1932,19.081,-103.631,MEXICO,150,10.0,15.0,7.8,1
1932,19.242,-104.383,MEXICO,150,,25.0,7.7,1
1932,26.0,95.5,MYANMAR (BURMA),60,,120.0,6.76,0
1932,40.5,23.9,GREECE,130,10.0,35.0,6.9,1
1933,-20.0,-71.0,CHILE,160,,40.0,7.161999999999999,1
1933,39.209,144.59,JAPAN,30,,15.0,8.4,1
1933,33.62,-117.97,USA,150,9.0,16.0,6.385,1
1933,36.759,27.299,GREECE,130,10.0,15.0,6.4,1
1933,12.0,-87.5,EL SALVADOR,100,,90.0,6.9,0
1933,-5.151,104.528,INDONESIA,60,,20.0,7.5,0
1933,-22.0,-70.5,CHILE,160,10.0,70.0,5.5,0
1933,32.1,56.0,IRAN,140,,27.0,6.3,0
1934,26.773,86.762,NEPAL,60,11.0,35.0,8.0,0
1934,17.5,119.0,PHILIPPINES,170,,22.0,7.362999999999999,1
1934,-40.5,175.5,NEW ZEALAND,170,,60.0,7.5,0
1934,8.0,-82.5,PANAMA,100,,60.0,7.229000000000001,1
1934,-11.907,166.731,SOLOMON ISLANDS,170,,35.0,7.8,1
1934,18.5,-105.5,MEXICO,150,,5.0,6.76,1
1935,40.62,27.451,TURKEY,140,10.0,7.0,6.4,1
1935,35.982,52.953,IRAN,140,7.0,15.0,6.0,0
1935,36.586,53.65,IRAN,140,9.0,15.0,6.4,0
1935,40.566,43.415,TURKEY,140,,10.0,6.1,0
1935,29.5,66.8,PAKISTAN,60,10.0,33.0,7.095000000000001,0
1935,35.0,138.0,JAPAN,30,,10.0,6.3,0
1935,24.6,120.8,TAIWAN,30,,30.0,6.425000000000001,0
1935,1.11,-77.34,COLOMBIA,160,8.0,10.0,6.1,0
1935,43.0,146.5,RUSSIA,50,,55.0,7.6,0
1935,-3.824,141.416,PAPUA NEW GUINEA,170,,30.0,7.8,1
1935,14.688,-92.438,MEXICO,150,6.0,35.0,7.3,0
1935,-9.8,161.0,SOLOMON ISLANDS,170,,60.0,7.6,0
1935,0.0,98.25,INDONESIA,60,8.0,33.0,7.362999999999999,1
1936,1.1,-77.6,COLOMBIA,160,7.0,10.0,5.821999999999999,0
1936,4.5,126.5,INDONESIA,170,9.0,60.0,7.229000000000001,1
1936,55.0,165.0,RUSSIA,50,10.0,20.0,7.2,0
1936,33.734,60.405,IRAN,140,7.0,15.0,6.1,0
1937,35.5,97.6,CHINA,30,10.0,60.0,7.095000000000001,0
1937,44.5,149.4,RUSSIA,50,,45.0,7.6,0
1937,-21.5,-177.0,FIJI,170,,400.0,7.497,0
1937,18.523,-95.878,MEXICO,150,,35.0,7.15,0
1937,14.5,121.5,PHILIPPINES,170,8.0,60.0,7.095000000000001,1
1937,-9.4,110.2,INDONESIA,60,9.0,70.0,7.2,0
1937,36.5,70.5,AFGHANISTAN,40,7.0,240.0,6.894,0
1937,-10.637,-76.562,PERU,160,10.0,10.0,6.5,0
1938,-5.045,131.614,INDONESIA,170,6.0,25.0,8.6,1
1938,4.68,-75.69,COLOMBIA,160,8.0,150.0,6.76,0
1938,39.544,33.911,TURKEY,140,10.0,10.0,6.6,0
1938,22.881,99.774,CHINA,30,8.0,15.0,6.2,0
1938,25.208,125.115,JAPAN,30,,35.0,7.6,1
1938,-0.3,-78.4,ECUADOR,160,10.0,10.0,7.0,0
1938,37.1,141.7,JAPAN,30,,30.0,7.229000000000001,1
1938,37.2,141.7,JAPAN,30,,30.0,7.161999999999999,1
1938,37.5,142.2,JAPAN,30,,0.0,7.095000000000001,1
1938,55.48,-158.37,USA,150,6.0,25.0,8.2,1
1939,-36.25,-72.25,CHILE,160,10.0,60.0,7.631,1
1939,-7.08,155.386,PAPUA NEW GUINEA,170,,35.0,7.7,1
1939,-9.295,159.234,SOLOMON ISLANDS,170,,35.0,7.9,1
1939,37.198,-24.356,AZORES (PORTUGAL),70,10.0,16.0,6.7,1
1939,5.568,-0.625,GHANA,10,9.0,13.0,6.4,1
1939,39.7,40.4,TURKEY,140,7.0,80.0,5.9,0
1939,36.3,70.6,AFGHANISTAN,40,,220.0,6.9,0
1939,0.0,123.0,INDONESIA,170,,150.0,7.43,1
1940,41.7,43.8,TURKEY,140,,19.0,6.0,0
1940,32.733,-115.5,USA,150,10.0,16.0,6.894,0
1940,-10.5,-77.0,PERU,160,10.0,60.0,8.2,1
1940,52.0,178.2,USA,150,,65.0,7.32,0
1940,45.8,26.8,ROMANIA,110,10.0,150.0,7.3,0
1941,33.527,58.776,IRAN,140,8.0,15.0,6.3,0
1941,18.68,-102.989,MEXICO,150,7.0,30.0,7.6,1
1941,11.94,92.626,INDIA,60,,20.0,8.0,1
1941,39.196,43.444,TURKEY,140,8.0,15.0,6.0,0
1941,39.7,39.4,TURKEY,140,8.0,70.0,5.9,0
1941,32.0,132.1,JAPAN,30,,10.0,7.0280000000000005,1
1941,37.301,-18.966,ATLANTIC OCEAN,70,9.0,10.0,7.8,1
1942,13.5,121.0,PHILIPPINES,170,,25.0,7.8,0
1942,-0.75,-81.5,ECUADOR,160,9.0,30.0,7.362999999999999,0
1942,4.6,-74.5,COLOMBIA,160,,130.0,5.956,1
1942,0.0,124.0,INDONESIA,170,,120.0,7.095000000000001,0
1942,13.863,-91.162,GUATEMALA,100,8.0,35.0,7.7,0
1942,-15.0,-76.0,PERU,160,9.0,60.0,8.2,1
1942,41.7,20.4,ALBANIA,130,10.0,33.0,6.09,0
1942,-49.5,32.0,SOUTH AFRICA,60,,25.0,7.362999999999999,0
1942,40.907,36.744,TURKEY,140,10.0,10.0,7.0,0
1942,43.4,17.2,CROATIA,130,10.0,15.0,6.0,0
1943,17.397,-101.37,MEXICO,150,7.0,20.0,7.4,0
1943,-30.75,-72.0,CHILE,160,,35.0,8.2,1
1943,7.5,128.0,PHILIPPINES,170,,33.0,7.497,0
1943,-1.0,101.0,INDONESIA,60,,50.0,7.161999999999999,0
1943,40.5,30.525,TURKEY,140,10.0,15.0,6.4,0
1943,-9.5,110.0,INDONESIA,60,8.0,90.0,7.497,0
1943,18.907,-67.118,USA TERRITORY,90,,15.0,7.7,0
1943,-53.0,159.0,AUSTRALIA,170,,25.0,7.9,0
1943,35.3,133.9,JAPAN,30,,10.0,7.4,0
1943,-22.0,171.0,NEW CALEDONIA,170,,50.0,7.5,0
1943,-30.0,-177.0,KERMADEC ISLANDS (NEW ZEALAND),170,,60.0,7.6,0
1943,-6.0,134.5,INDONESIA,170,,60.0,7.161999999999999,0
1943,40.867,33.651,TURKEY,140,11.0,20.0,7.5,0
1943,54.9,156.8,RUSSIA,50,,350.0,7.6,0
1944,-31.496,-68.491,ARGENTINA,160,9.0,15.0,6.9,0
1944,40.66,32.998,TURKEY,140,10.0,30.0,7.6,0
1944,-8.5,123.5,INDONESIA,60,,220.0,7.095000000000001,0
1944,36.8,54.5,IRAN,140,8.0,7.0,5.554,0
1944,-2.5,152.8,PAPUA NEW GUINEA,170,,60.0,7.5,0
1944,38.9,29.3,TURKEY,140,8.0,33.0,6.0,0
1944,36.7,22.5,GREECE,130,10.0,8.0,5.7,0
1944,44.945,-74.746,USA,150,8.0,15.0,5.7,0
1944,-22.5,172.0,NEW CALEDONIA,170,,120.0,7.5,0
1944,-19.0,169.0,VANUATU,170,,170.0,7.5,0
1944,34.0,137.1,JAPAN,30,,30.0,8.1,1
1945,34.7,137.2,JAPAN,30,,33.0,6.827,1
1945,37.244,35.859,TURKEY,140,7.0,15.0,6.1,0
1945,24.5,63.0,PAKISTAN,60,10.0,15.0,8.0,1
1945,-6.0,150.0,PAPUA NEW GUINEA,170,,60.0,7.8,0
1946,38.2,31.8,TURKEY,140,8.0,60.0,5.6,0
1946,53.492,-162.832,USA,150,6.0,15.0,8.6,1
1946,39.23,41.374,TURKEY,140,8.0,15.0,5.9,0
1946,-26.5,-70.5,CHILE,160,,60.0,7.362999999999999,1
1946,19.25,-69.0,DOMINICAN REPUBLIC,90,,15.0,7.9,1
1946,19.5,-69.5,DOMINICAN REPUBLIC,90,,15.0,7.5,1
1946,23.9,96.2,MYANMAR (BURMA),60,,60.0,7.095000000000001,0
1946,23.9,96.2,MYANMAR (BURMA),60,,60.0,7.295999999999999,0
1946,-4.5,153.5,PAPUA NEW GUINEA,170,,60.0,7.7,0
1946,41.5,72.5,KYRGYZSTAN,40,10.0,35.0,7.6,0
1946,39.3,55.4,TURKMENISTAN,40,,26.0,7.5,0
1946,-8.5,-77.5,PERU,160,11.0,12.0,7.3,0
1946,33.123,135.905,JAPAN,30,,15.0,8.3,1
1947,12.851,-87.824,NICARAGUA,100,8.0,45.0,6.2,0
1947,-6.5,148.5,PAPUA NEW GUINEA,170,,33.0,7.3,0
1947,37.5,57.8,IRAN,140,7.0,9.0,4.1,0
1947,1.3,-77.23,COLOMBIA,160,8.0,10.0,6.0,0
1947,28.5,94.0,INDIA,60,,60.0,7.362999999999999,0
1947,33.604,58.642,IRAN,140,8.0,15.0,6.9,0
1947,36.808,21.916,GREECE,130,9.0,28.0,7.3,1
1947,-10.96,-74.676,PERU,160,10.0,20.0,7.6,0
1948,10.714,122.235,PHILIPPINES,170,9.0,15.0,7.8,1
1948,35.64,27.158,GREECE,130,10.0,60.0,7.3,1
1948,-3.0,127.5,INDONESIA,170,,60.0,7.362999999999999,0
1948,38.532,20.425,GREECE,130,10.0,15.0,6.5,1
1948,-17.298,-70.373,PERU,160,9.0,58.0,6.5,0
1948,54.5,-161.0,USA,150,,25.0,7.5,0
1948,29.5,100.5,CHINA,30,10.0,18.0,6.961,0
1948,-13.0,-76.5,PERU,160,7.0,60.0,6.76,0
1948,36.5,136.0,JAPAN,30,,20.0,7.3,0
1948,38.5,20.5,GREECE,130,11.0,33.0,6.4,0
1948,-21.0,-174.0,TONGA,170,,25.0,7.9,1
1948,38.084,58.364,TURKMENISTAN,40,10.0,18.0,7.2,0
1948,21.182,-106.818,MEXICO,150,,15.0,6.6,1
1949,36.0,70.5,AFGHANISTAN,40,8.0,230.0,7.095000000000001,0
1949,47.167,-122.617,USA,150,8.0,70.0,6.76,1
1949,-38.0,-73.5,CHILE,160,,70.0,6.961,1
1949,27.28,56.46,IRAN,140,,100.0,6.291,0
1949,39.2,70.8,TAJIKISTAN,40,10.0,16.0,7.0280000000000005,0
1949,38.718,26.482,GREECE,130,9.0,15.0,6.5,1
1949,-1.237,-78.305,ECUADOR,160,,60.0,6.5,0
1949,-19.103,-174.378,TONGA,170,,65.0,6.9,0
1949,39.503,40.671,TURKEY,140,10.0,15.0,6.8,0
1949,53.62,-133.27,CANADA,150,,25.0,8.1,1
1949,-54.0,-71.0,CHILE,160,,33.0,7.295999999999999,1
1949,-54.0,-71.0,CHILE,160,,33.0,7.295999999999999,1
1949,17.0,121.63,PHILIPPINES,170,8.0,33.0,6.894,1
1950,27.255,53.029,IRAN,140,7.0,15.0,5.7,0
1950,46.0,144.0,RUSSIA,50,6.0,340.0,7.9,0
1950,-15.0,-69.5,PERU,160,,250.0,7.9,0
1950,7.79,-72.61,COLOMBIA,160,9.0,15.0,6.1,0
1950,9.71,-69.819,VENEZUELA,90,,15.0,6.4,1
1950,-1.5,-78.2,ECUADOR,160,11.0,60.0,6.8,0
1950,28.5,96.5,INDIA,60,11.0,33.0,8.6,0
1950,11.0,-85.0,COSTA RICA,100,,60.0,7.229000000000001,1
1950,-3.8,128.3,INDONESIA,170,,60.0,7.161999999999999,1
1950,-6.5,129.5,INDONESIA,170,,60.0,7.497,0
1950,-18.25,167.5,VANUATU,170,,60.0,7.295999999999999,1
1950,-23.5,-67.5,CHILE,160,7.0,100.0,7.43,0
1950,-14.25,-75.75,PERU,160,,80.0,6.76,1
1950,16.48,-98.22,MEXICO,150,5.0,50.0,7.095000000000001,1
1950,-19.5,-176.0,TONGA,170,6.0,200.0,7.229000000000001,0
1951,-7.0,146.0,PAPUA NEW GUINEA,170,,180.0,7.15,0
1951,13.0,-87.8,EL SALVADOR,100,,100.0,6.5,0
1951,-15.0,-69.5,PERU,160,,250.0,7.9,0
1951,15.99,-96.605,MEXICO,150,,25.0,6.0,0
1951,13.0,-87.5,NICARAGUA,100,,100.0,6.09,1
1951,13.0,-87.5,NICARAGUA,100,,100.0,5.755,0
1951,19.7,-156.0,USA,150,,60.0,6.9,1
1951,23.8,121.7,TAIWAN,30,,21.0,6.961,1
1951,31.1,91.4,CHINA,40,,25.0,7.5,0
1951,-34.0,57.0,INDIAN OCEAN,60,,25.0,7.362999999999999,0
1952,40.029,41.544,TURKEY,140,8.0,20.0,5.7,0
1952,42.15,143.85,JAPAN,30,9.0,45.0,8.1,1
1952,41.7,142.5,JAPAN,30,,20.0,7.1,1
1952,9.5,127.25,PHILIPPINES,170,7.0,25.0,7.295999999999999,1
1952,35.0,-119.017,USA,150,11.0,16.0,7.229000000000001,0
1952,35.333,-118.917,USA,150,8.0,16.0,5.96,0
1952,52.755,160.057,RUSSIA,50,7.0,22.0,9.0,1
1953,27.761,54.751,IRAN,140,7.0,15.0,5.5,0
1953,35.385,54.979,IRAN,140,8.0,15.0,6.6,0
1953,40.175,27.648,TURKEY,140,,10.0,7.3,0
1953,-4.449,152.868,PAPUA NEW GUINEA,170,,35.0,7.4,1
1953,-36.5,-72.5,CHILE,160,10.0,60.0,7.49,1
1953,-19.0,169.0,VANUATU,170,,223.0,7.5,0
1953,38.1,20.6,GREECE,130,9.0,33.0,6.626,1
1953,34.741,32.335,CYPRUS,130,10.0,20.0,6.3,1
1953,34.0,141.7,JAPAN,30,,60.0,7.0280000000000005,1
1953,-22.1,-68.7,CHILE,160,,128.0,7.4,0
1953,-3.4,-80.6,PERU,160,9.0,30.0,7.0280000000000005,1
1954,17.283,-92.382,MEXICO,150,,85.0,6.1,0
1954,-34.93,138.69,AUSTRALIA,170,8.0,4.0,5.353,0
1954,24.5,95.3,MYANMAR (BURMA),60,,180.0,7.0280000000000005,0
1954,37.0,-3.5,SPAIN,130,,640.0,7.0,0
1954,39.228,22.162,GREECE,130,10.0,10.0,6.7,0
1954,36.274,1.594,ALGERIA,15,11.0,15.0,6.7,1
1955,-28.0,-175.5,KERMADEC ISLANDS (NEW ZEALAND),170,,60.0,7.8,0
1955,7.658,123.157,PHILIPPINES,170,8.0,35.0,7.4,0
1955,39.4,23.1,GREECE,130,10.0,33.0,6.224,1
1955,-30.0,-72.0,CHILE,160,6.0,30.0,6.827,1
1955,37.617,27.284,TURKEY,140,9.0,15.0,6.6,1
1956,-26.0,-175.241,TONGA,170,,35.0,7.0,0
1956,45.5,14.3,SLOVENIA,130,7.0,7.0,4.5,0
1956,-15.0,-179.0,FIJI,170,,430.0,7.5,0
1956,35.1,67.5,AFGHANISTAN,40,,60.0,7.6,0
1956,36.664,25.957,GREECE,130,9.0,20.0,7.7,1
1956,22.178,95.781,MYANMAR (BURMA),60,,34.0,6.8,0
1956,-5.5,130.0,INDONESIA,170,,190.0,7.095000000000001,0
1956,23.278,70.107,INDIA,60,9.0,15.0,6.0,0
1956,46.0,150.5,RUSSIA,50,7.0,110.0,7.6,0
1956,27.407,54.462,IRAN,140,8.0,15.0,6.4,0
1957,23.9,121.6,TAIWAN,30,,69.0,6.894,0
1957,51.499,-175.626,USA,150,,33.0,8.6,1
1957,-15.5,-173.0,SAMOA,170,,60.0,7.5,0
1957,-4.6,107.1,INDONESIA,60,,600.0,7.095000000000001,0
1957,36.31,28.62,TURKEY,140,,40.0,6.9,0
1957,36.405,28.699,TURKEY,140,10.0,35.0,7.3,0
1957,40.73,31.09,TURKEY,140,9.0,25.0,7.1,0
1957,-1.5,137.0,INDONESIA,170,,33.0,6.961,1
1957,56.2,116.4,RUSSIA,40,10.0,15.0,7.161999999999999,0
1957,36.277,52.778,IRAN,140,9.0,15.0,6.6,0
1957,16.5,-99.1,MEXICO,150,7.0,25.0,7.362999999999999,1
1957,5.5,127.5,PHILIPPINES,170,,60.0,7.6,0
1957,-20.4,-178.5,FIJI,170,,549.0,7.5,0
1957,-21.0,-66.0,BOLIVIA,160,,170.0,7.8,0
1957,45.5,99.5,MONGOLIA,40,11.0,33.0,8.1,0
1957,34.388,47.748,IRAN,140,8.0,15.0,6.5,0
1957,-12.3,166.7,SOLOMON ISLANDS,170,,120.0,7.8,0
1958,-16.25,-72.242,PERU,160,9.0,64.0,7.0,0
1958,1.5,-79.5,COLOMBIA,160,9.0,60.0,7.6,1
1958,25.0,125.0,JAPAN,30,,70.0,7.095000000000001,0
1958,58.37,-136.665,USA,150,11.0,35.0,7.8,1
1958,-13.5,-69.0,PERU,160,,620.0,7.5,0
1958,34.29,47.867,IRAN,140,7.0,15.0,6.7,0
1958,-9.5,112.5,INDONESIA,60,8.0,100.0,6.559000000000001,0
1958,44.53,148.54,RUSSIA,50,10.0,40.0,8.3,1
1959,24.78,122.7,TAIWAN,30,,150.0,7.095000000000001,0
1959,52.5,159.5,RUSSIA,50,10.0,60.0,8.2,1
1959,17.0,-96.3,MEXICO,150,,100.0,6.8,0
1959,-20.369,-68.0,BOLIVIA,160,,112.0,7.095000000000001,0
1959,53.9,160.5,RUSSIA,50,10.0,15.0,7.0,0
1959,22.18,121.13,TAIWAN,30,,60.0,6.76,0
1959,-7.5,156.0,SOLOMON ISLANDS,170,,33.0,6.961,1
1959,44.63,-110.891,USA,150,10.0,10.0,7.2,0
1959,40.9,19.8,ALBANIA,130,10.0,11.0,6.1,0
1959,-28.5,-177.0,KERMADEC ISLANDS (NEW ZEALAND),170,,60.0,7.7,0
1960,-15.75,-72.75,PERU,160,10.0,160.0,7.295999999999999,1
1960,-15.008,-74.867,PERU,160,,65.0,7.1,0
1960,36.0,4.1,ALGERIA,15,,33.0,5.821999999999999,0
1960,30.45,-9.62,MOROCCO,15,10.0,33.0,6.023,1
1960,27.814,54.497,IRAN,140,7.0,15.0,5.9,0
1960,-37.872,-73.243,CHILE,160,,35.0,8.2,1
1960,-38.143,-73.407,CHILE,160,12.0,33.0,9.5,1
1960,-3.6,29.0,CONGO,10,,28.0,6.491999999999999,0
1960,-6.8,-80.7,PERU,160,,93.0,6.7,1
1961,24.9,93.34,INDIA,60,,141.0,7.6,0
1961,31.6,131.8,JAPAN,30,,74.0,6.961,1
1961,-28.3,-175.7,KERMADEC ISLANDS (NEW ZEALAND),170,,40.0,7.5,0
1961,-8.2,122.0,INDONESIA,60,8.0,74.0,6.425000000000001,0
1961,10.466,39.717,ETHIOPIA,10,9.0,33.0,6.2,0
1961,27.861,54.528,IRAN,140,8.0,15.0,6.4,0
1961,-10.5,-70.7,PERU,160,,629.0,7.5,0
1961,-59.5,-27.3,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,70,,131.0,7.5,0
1961,-56.26,-27.283,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,70,,105.0,7.229000000000001,0
1961,4.49,-75.51,COLOMBIA,160,8.0,163.0,6.626,0
1962,43.3,17.1,CROATIA,130,8.0,33.0,6.045000000000001,0
1962,43.3,17.1,CROATIA,130,9.0,33.0,6.215,1
1962,-37.8,-72.5,CHILE,160,,45.0,7.3,0
1962,40.9,19.5,ALBANIA,130,,33.0,6.0,0
1962,33.32,58.845,IRAN,140,7.0,15.0,5.8,0
1962,-9.941,-78.933,PERU,160,,49.0,6.4,0
1962,38.8,140.9,JAPAN,30,,104.0,6.626,0
1962,17.2,-99.6,MEXICO,150,8.0,40.0,6.76,1
1962,17.2,-99.5,MEXICO,150,,33.0,6.894,1
1962,7.5,-82.0,PANAMA,100,,21.0,7.0280000000000005,0
1962,5.2,-76.4,COLOMBIA,160,,69.0,6.626,0
1962,41.4,15.5,ITALY,130,,34.0,6.1,0
1962,37.8,22.9,GREECE,130,,100.0,6.8,0
1962,41.8,-111.8,USA,150,7.0,37.0,5.8,0
1962,35.63,49.87,IRAN,140,9.0,27.0,6.894,0
1962,35.1,58.7,IRAN,140,8.0,8.0,5.42,0
1962,28.1,55.6,IRAN,140,,40.0,5.5,0
1963,24.5,122.1,TAIWAN,30,,47.0,6.961,1
1963,32.6,21.0,LIBYA,15,9.0,5.0,5.688000000000001,0
1963,34.438,47.882,IRAN,140,7.0,20.0,6.0,0
1963,37.0,57.9,IRAN,140,6.0,33.0,5.42,0
1963,12.2,-86.9,NICARAGUA,100,,50.0,5.755,0
1963,-8.2,115.6,INDONESIA,60,,65.0,6.09,0
1963,46.1,14.8,SLOVENIA,130,7.0,13.0,4.9,0
1963,42.1,21.3,MACEDONIA,130,10.0,5.0,6.09,0
1963,27.8,55.6,IRAN,140,,37.0,5.2,0
1963,-13.8,-69.3,PERU,160,,543.0,7.7,0
1963,33.9,74.8,INDIA,60,,25.0,5.3,0
1963,-10.385,-78.022,PERU,160,,75.0,6.76,1
